segment_name,segment_description,segment_total_detractors,segment_detractors_with_comments,segment_comment_themes,entity_id,nps_score,nps_score_label,nps_comment,nps_source,nps_submitted_date,nps_submitted_fiscal_year,nps_submitted_fiscal_quarter,nps_campaign_name,account_type,company_name,bidding_status,copart_user,transaction_role,state,region_name,territory_name,bought_item_count,sold_item_count,bought_hammer_total,sold_hammer_total,items_bid_on,lifetime_bids,wins,win_rate_pct,avg_highest_bid,serious_bids,bidding_intensity_tier,win_rate_tier,avg_bid_value_tier,bid_recency,account_tenure_tier,customer_lifecycle_stage,engagement_level
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",49221,3,detractor,,iterable,2025-08-12 00:00:00,2026,1,,personal,"HB Construction, Inc.",Authorized,False,buyer_and_seller,MO,Upper Midwest,West Central MO,48,17,716855,498625,188,1514,13,6.9,9923.62,43,power_bidder (1000+),low (< 10%),medium ($5k-$15k),bid_last_30_days,veteran (5+ years),power_user,very_high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",304694,3,detractor,"Sellers lie about items such as 
Tractors with I operable brakes causing unsafe situation. Sellers far off rely on purple wave to inspect items.",posthog,2024-08-25 18:10:01,2025,1,Net promoter score (NPS),personal,Johnson Farms,Authorized,False,buyer_only,TX,Southern Plains,WJ Ranch TX,7,0,5995,0,170,1420,7,4.1,1460.21,26,power_bidder (1000+),low (< 10%),small ($1k-$5k),bid_over_year_ago,mature (3-5 years),repeat,medium
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",144589,3,detractor,,iterable,2024-09-10 00:00:00,2025,1,,business,Hominy Auto Sales,Authorized,False,buyer_only,OK,Upper Midwest,Southeast KS,6,0,69100,0,172,1045,5,2.9,10403.84,22,power_bidder (1000+),low (< 10%),medium ($5k-$15k),bid_last_30_days,veteran (5+ years),repeat,medium
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",144513,4,detractor,I like purple wave but after buying a item at low a price the seller wouldnt actually give me the item. I feel purple wave should have done more. At that point I lost faith in buying and actually receiving. How could I not feel that way?,iterable,2025-03-11 00:00:00,2025,3,,business,Industrial Parts Connection,Authorized,False,buyer_only,MO,Upper Midwest,Northern MO,29,0,18475,0,430,2057,14,3.3,784.49,63,power_bidder (1000+),low (< 10%),micro (< $1k),bid_last_30_days,veteran (5+ years),active,high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",129987,4,detractor,the buyers commission makes it hard for me to recommend,iterable,2025-03-04 00:00:00,2025,3,,personal,Big D Ranch,Authorized,False,buyer_only,MO,Upper Midwest,West Central MO,6,0,5650,0,616,1476,2,0.3,93.36,6,power_bidder (1000+),low (< 10%),micro (< $1k),bid_over_year_ago,veteran (5+ years),repeat,medium
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",125681,5,detractor,"If they ask, I'll suggest.",posthog,2025-03-11 03:52:10,2025,3,Net promoter score (NPS),personal,K and S McNickle,Authorized,False,buyer_only,KS,Upper Midwest,Central KS,99,0,263607,0,6583,29979,58,0.9,2228.8,253,power_bidder (1000+),low (< 10%),small ($1k-$5k),bid_last_30_days,veteran (5+ years),power_user,very_high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",288390,5,detractor,"We like the organization, the equipment is often within a big day's drive. It does seem like a lot of items are in worse condition than presented.",iterable,2025-03-04 00:00:00,2025,3,,personal,Westcliffe Outdoor,Authorized,False,buyer_only,CO,Upper Midwest,Southeast CO,15,0,72170,0,2283,7865,16,0.7,4092.34,104,power_bidder (1000+),low (< 10%),small ($1k-$5k),bid_last_30_days,mature (3-5 years),active,high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",258925,5,detractor,,iterable,2025-03-13 00:00:00,2025,3,,personal,Bennie Wenzel,Authorized,False,buyer_only,MO,Upper Midwest,Northeast KS,122,0,215740,0,1121,5425,122,10.9,957.38,281,power_bidder (1000+),moderate (10-25%),micro (< $1k),bid_last_30_days,mature (3-5 years),power_user,very_high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",86180,5,detractor,"discriptions are wrong , office help is not processing the invoices , had to call three times to get last invoice . even the seller was upset with you guys because you have his phone number WRONG",iterable,2025-09-09 00:00:00,2026,1,,business,Huff Steel Buildings,Authorized,False,buyer_only,CO,Upper Midwest,Western Slope CO,18,0,34460,0,530,2169,8,1.5,1461.23,51,power_bidder (1000+),low (< 10%),small ($1k-$5k),bid_last_30_days,veteran (5+ years),active,high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",160392,5,detractor,I think you should tell your seller s to be honest with their buyers!!!   I got a 2005 Ram  the add showed the ram going down the road!!! I called & talked to the seller he said it had no problems!! But I drove 2&1/2 hours to pick it up it only had first gear  big problem for me !!!,iterable,2024-09-10 00:00:00,2025,1,,personal,Ifixit,Authorized,False,buyer_and_seller,OK,Southern Plains,OKC East,12,2,12935,360,480,1467,5,1.0,245.53,21,power_bidder (1000+),low (< 10%),micro (< $1k),bid_last_30_days,veteran (5+ years),active,high
Power Bidder Detractors (1000+ bids),Most active bidders on the platform who gave low NPS scores. These are high-value users at risk of churning.,24,14,"**Seller Dishonesty & Misrepresentation (8 comments)**: Buyers report sellers lying about equipment condition, providing false descriptions, and misrepresenting items that turn out to be non-functional or ""junk."" **High Fees & Commission Structure (3 comments)**: The 10% buyer's fee and $100 listing costs are viewed as excessive, making it difficult to recommend the platform. **Poor Customer Service & Communication (3 comments)**: Issues include unresponsive staff, incorrect contact information, invoice processing delays, and failure to return calls. **Lack of Accountability & Dispute Resolution (4 comments)**: Purple Wave fails to stand behind purchases when items don't match descriptions, doesn't adequately resolve disputes, and shows insufficient seller accountability. **Inadequate Inspection Process (2 comments)**: The platform's inspection process is seen as failing to catch basic problems, leaving buyers with equipment that doesn't work as advertised. Overall, these high-value users feel betrayed by a platform they once trusted, citing systemic issues with transparency, accountability, and value proposition.",258925,6,detractor,,iterable,2024-09-10 00:00:00,2025,1,,personal,Bennie Wenzel,Authorized,False,buyer_only,MO,Upper Midwest,Northeast KS,122,0,215740,0,1121,5425,122,10.9,957.38,281,power_bidder (1000+),moderate (10-25%),micro (< $1k),bid_last_30_days,mature (3-5 years),power_user,very_high
